Rank	Player	Pos	Us_Pos	ECR_Pos	ESPN_Pos	Tier	Team	Bye	Age	Exp	Ht	Wt	40yd	OurValue$	vsECR	ProjPts	2025Pts	2025Gms	ECR	ECR_Best	ECR_Worst	ESPN_Rank	ESPN_ADP	Rostered%	SleeperBuzz	Depth	Latest News	NewsURL
229	Joe Flacco	QB	QB42	QB42	QB39	QB-T9	CIN	6	41.6	19	6'6"	245	4.84	1	115	51.5	148.7	13	343.91	296	381	454	170.0	1				
230	Pat Freiermuth	TE	TE28	TE28	TE22	TE-T9	PIT	9	27.9	6	6'5"	258		1	8	51.4	72.6	15	238.46	155	333	296	169.7	12				
231	James Conner	RB	RB62	RB62	RB95	RB-T11	ARI	14	31.3	10	6'1"	233	4.65	1	-20	51.2	25.3	3	211.4	130	332	437	170.1	18				
232	Malachi Fields	WR	WR88	WR88	WR74	WR-T12	NYG	8	23.0	R	6'4"	222	4.61	1	4	51.0			236.07	137	328	286	170.4	10				
233	Cade Otton	TE	TE29	TE29	TE29	TE-T9	TB	10	27.4	5	6'5"	247		1	7	50.0	63.2	15	239.93	178	320	368	170.3	15				
234	Jack Bech	WR	WR89	WR89	WR100	WR-T12	LV	13	23.7	2	6'1"	214		1	5	49.9	22.4	14	239.01	140	391	393	170.2	4				
235	Nicholas Singleton	RB	RB63	RB63	RB82	RB-T11	TEN	9	22.7	R	6'0"	219		1	-16	49.8			218.87	148	323	378	170.3	16				
236	Jaydon Blue	RB	RB64	RB64		RB-T11	DAL	14	22.6	2	5'9"	198	4.38	1	-10	48.6	19.4	5	226.47	145	321			8	DROP		Making sense of Cowboys' surprising roster cuts ahead of 2026 season: Joe Milton; Jaydon Blue and more (rss:cbs)	https://www.cbssports.com/nfl/news/making-sense-of-cowboys-surprising-roster-cuts/
237	Ted Hurst III	WR	WR90	WR90	WR102	WR-T12	TB	10	22.2	R	6'3"	195	4.42	1	6	48.4			242.97	154	391	406	170.2	9				
238	David Njoku	TE	TE30	TE30	TE30	TE-T9	LAC	7	30.1	12	6'4"	246	4.64	1	12	48.1	53.3	11	250.34	144	355	412	169.7	16				
239	Justin Fields	QB	QB43	QB43	QB38	QB-T9	KC	5	27.5	6	6'3"	227	4.45	1	107	47.8	134.7	9	345.51	295	389	453	170.0	2				
240	Chris Bell	WR	WR91	WR91	WR87	WR-T12	MIA	6	22.2	R	6'2"	220	4.5	1	4	47.6			244.04	154	310	330	170.5	12				
